Материнская плата ASROCK A320M-HDV R4.0(восстановленный) ,2590, https://www.citilink.ru/product/materinskaya-plata-asrock-a320m-hdv-r4-0-socketam4-amd-a320-matx-ret-v-M00217498/ , https://cdn.citilink.ru/AuCsh-qMdcL_nnwrnTdLqastPwfkGVZZFcq7oc1qNqY/fit/400/400/ce/false/plain/items/1146345_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD A320|Частотная спецификация памяти | 2667 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDA320
"Материнская плата MSI B450M-A PRO MAX, SocketAM4, AMD B450, mATX, Ret(Б/У) ",2910, https://www.citilink.ru/product/materinskaya-plata-msi-b450m-a-pro-max-socketam4-amd-b450-matx-ret-b-u-M00217158/ , https://cdn.citilink.ru/uYwYgs78k_q_rEpL8u9roCBV-xDaPvdQwHH0N8z1WIA/fit/400/400/ce/false/plain/items/1196830_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Частотная спецификация памяти | 2667 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB450
Материнская плата Gigabyte B450M H(восстановленный) ,2910, https://www.citilink.ru/product/materinskaya-plata-gigabyte-b450m-h-socketam4-amd-b450-matx-ret-vossta-M00216849/ , https://cdn.citilink.ru/pBb9_QjFLh5Up0mAckNq_o_fZwhHCfP2eKXZUhoSJYc/fit/400/400/ce/false/plain/items/1362027_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB450
Материнская плата Gigabyte A520M DS3H(восстановленный) ,3250, https://www.citilink.ru/product/materinskaya-plata-gigabyte-a520m-ds3h-socketam4-amd-a520-matx-ret-vos-M00215717/ , https://cdn.citilink.ru/LIDV35yCe6Xass55BxWpCu-X2R2DEl-EOQmBcJcpHwU/fit/400/400/ce/false/plain/items/1410231_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD A520|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,AMDA520
Материнская плата Gigabyte H310M S2P(восстановленный) ,3430, https://www.citilink.ru/product/materinskaya-plata-gigabyte-h310m-s2p-lga-1151v2-intel-h310-matx-ret-v-M00216837/ , https://cdn.citilink.ru/_pa0QFQoori1qS7Vs0In-UH5OW-FNcu3y_M3w3YG1S8/fit/400/400/ce/false/plain/items/1057431_v01_m.jpg , Гнездо процессора | LGA 1151v2|Чипсет | Intel H310|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH310
Материнская плата Gigabyte H310M H ,3490, https://www.citilink.ru/product/materinskaya-plata-gigabyte-h310m-h-2-0-lga-1151v2-intel-h310-matx-ret-1107888/ , https://cdn.citilink.ru/VCaC-H4lFL0NBtMwBpVYYhKoZzBLFk8pRFGruvKJgME/fit/400/400/ce/false/plain/items/1107888_v01_m.jpg , Гнездо процессора | LGA 1151v2|Чипсет | Intel H310|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH310
Материнская плата Gigabyte GA-A320M-H ,3690, https://www.citilink.ru/product/materinskaya-plata-gigabyte-ga-a320m-h-socketam4-amd-a320-matx-ret-1101032/ , https://cdn.citilink.ru/EUulALNxHjRFldV8MuIt-lheqpRTtMv-OXMraAQE6_w/fit/400/400/ce/false/plain/items/1101032_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD A320|Частотная спецификация памяти | 2667 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDA320
Материнская плата ASUS PRIME H510M-K(восстановленный) ,3690, https://www.citilink.ru/product/materinskaya-plata-asus-prime-h510m-k-lga-1200-intel-h510-matx-ret-vos-M00217496/ , https://cdn.citilink.ru/OXQ-FEKdQ7zX9D9CoCYvUseTf0kkgaiqBDKEQFBbmzg/fit/400/400/ce/false/plain/items/1498864_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H510|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH510
Материнская плата Gigabyte H310M S2 1.1 ,3790, https://www.citilink.ru/product/materinskaya-plata-gigabyte-h310m-s2-lga-1151v2-intel-h370-matx-ret-1471912/ , https://cdn.citilink.ru/q-nlqxkVnSJRSPxQc9ah-VN8nlLAtEOs7WaFoiC196I/fit/400/400/ce/false/plain/items/1471912_v01_m.jpg , Гнездо процессора | LGA 1151v2|Чипсет | Intel H370|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH370
Материнская плата Gigabyte H310M H 1.1 ,3790, https://www.citilink.ru/product/materinskaya-plata-gigabyte-h310m-h-lga-1151v2-intel-h370-matx-ret-1471909/ , https://cdn.citilink.ru/mTNmHm-p6M2_7Pa-_D5xPulac5U5t6TgUzzvCba9_u4/fit/400/400/ce/false/plain/items/1471909_v01_m.jpg , Гнездо процессора | LGA 1151v2|Чипсет | Intel H370|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH370
